1535	 1233
1540	 1037
1547	 1389
1552	 1350
1565	  854
1567	  828
1568	-9999
1575	  828
1577	  854
1588	 1493
1592	 1689
1600	 1754
1606	 1754
1615	 1637
1616	-9999
1623	 1572
1628	 1533
1636	 1767
1646	 1767
1650	 1715
1662	 1311
1670	 1467
1675	 1441
1686	 1063
1705	 1246
1708	 1233
1719	 1441
1724	 1402
1732	 1154
1743	 1350
1748	 1167
1762	 1180
1766	 1154
1768	 1167
1770	 1220
1774	 1363
1776	 1441
1777	 1559
1783	 1572
1785	 1415
1786	 1376
1788	 1337
1794	 1167
1802	 1207
1808	 1128
1810	 1180
1814	 1167
1815	 1180
1816	 1246
1819	 1428
1820	 1624
1826	 1624
1830	 1598
1835	 1624
1841	 1598
1843	 1650
1855	 1741
1856	 1741
1860	 1728
1868	 1193
1869	 1154
1871	 1102
1879	  893
1880	  841
1882	  757
1884	  776
1890	  770
1892	  770
1893	  874
1894	  867
1898	  867
1899	  907
1900	  789
1901	  776
1902	  770
1903	  757
1904	  750
1905	  711
1906	  672
1907	  678
1908	  685
1909	  685
1910	  691
1911	  659
1912	  672
1913	  678
1914	  685
1916	  659
1917	  620
1918	  626
1919	  646
1920	  659
1921	  678
1922	  717
1923	  743
1924	  776
1925	  809
1926	  822
1927	  802
1928	  770
1929	  757
1930	  750
1933	  757
1935	  730
1936	  730
1937	  724
1939	  698
1942	  659
1944	  633
1945	  620
1946	  593
1947	  561
1948	  541
1949	  522
1951	  476
1952	  457
1953	  398
1954	  346
1955	  326
1956	  300
1957	  287
1958	  267
1959	  235
1960	  222
1961	  215
1962	  163
1963	  111
1964	85
1965	72
1966	52
1967	33
1968	26
1969	20
1970	 0
1971	  -26
1972	  -46
1973	  -59
1974	  -46
1975	  -91
1976	 7
1977	13
1978	  -33
1979	  -33
1980	91
1981	  143
