Age,SR,Ca,K_Area ,Br_Area ,K/Ti,Sr_Area 
1733,0.265957447,311001,33568,5813,1.805799129,18462
1751,0.266028199,230832,36034,6868,1.836127389,18113
1770,0.266453504,236335,32954,6132,1.736706192,18181
1789,0.267236772,274328,31721,5349,1.847897006,18728
1808,0.268384326,299115,29778,5318,1.874362686,18014
1826,0.269905533,419096,31704,4461,2.053234894,19094
1852,0.272702482,184874,19906,5344,1.419727552,18707
1867,0.274649821,282795,16574,3259,1.386017729,21438
1867,0.274649821,220381,19380,4589,1.508288583,18759
1885,0.277546489,202371,16394,3231,1.415961306,18443
1903,0.280819994,193382,11088,3666,1.257855927,18639
1941,0.289771081,287489,31747,4862,1.916973613,18965
1959,0.294724433,346058,31127,3844,1.96384858,19496
1975,0.300390508,488672,29317,3039,1.966396137,18128
1992,0.3066544,352066,34579,3930,1.971324326,18943
2008,0.313676286,363695,33793,3542,2.014245694,20010
2024,0.321543408,343055,34611,3071,2.111328006,20796
2039,0.330469266,402274,25315,3128,1.923486057,23189
2054,0.340367597,395612,22693,3494,1.86069203,23765
2069,0.351493849,457584,27874,3423,2.005900979,24466
2083,0.36416606,392637,30422,3945,1.99829217,20750
2096,0.378357927,190920,27203,5739,1.635090461,19664
2109,0.394477318,201261,25837,4494,1.743152071,18462
2122,0.413052458,211748,33321,5768,1.775888717,18409
2134,0.433275563,243592,38520,5436,1.929666366,18956
2145,0.454959054,169019,42192,6783,1.987376354,18002
2156,0.478240077,201313,39086,6588,1.974638779,17767
2166,0.503018109,322356,38893,3884,2.188319361,20108
2176,0.529661017,295930,33133,4842,2.000905852,17605
2185,0.558035714,257898,37614,4345,2.117666929,19691
2194,0.588581519,316111,47406,3244,2.575433259,19814
2202,0.62150404,271218,48086,2595,2.515352827,17302
2210,0.656598818,121170,70696,2287,2.861259511,15075
2217,0.694444444,105666,80426,1880,2.979733985,14773
2224,0.735294118,202138,65678,1661,2.874562325,16694
2231,0.778816199,185520,69662,2195,2.949030565,14939
2237,0.825763832,147683,75834,1852,3.008808126,14613
2243,0.876424189,146541,76053,1435,3.009497052,13804
2249,0.930232558,121057,79379,2007,3.047763486,14301
2254,0.988142292,97679,82047,1642,3.09086457,13149
2259,1.049317943,103380,82515,1492,3.079377519,14138
2264,1.114827202,167566,74121,1617,2.885320565,15985
2268,1.184834123,148656,76037,1852,3.001381543,13832
